	text	label	primary_key	mapping
49	('Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.', 0)	0	33	33
50	('US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders', 0)	0	34	34
51	"(""i'm itchy and miserable"", 12)"	0	36	36
52	"(""@sekseemess no. I'm not itchy for now. Maybe later, lol."", 0)"	0	37	37
53	"(""i love stanford's nerdy videos about human biology"", 83)"	2	38	38
54	"(""i love stanford's nerdy videos about human biology"", 83)"	2	38	38
55	('spinuzzi had a bit of a rough learning curve but lyx is really good for long tutorials', 73)	2	39	39
56	"(""i'm listening to pyt by danny gokey lt3 lt3 lt3 i love him"", 48)"	2	40	40
57	"(""i'm listening to pyt by danny gokey lt3 lt3 lt3 i love him"", 48)"	2	40	40
58	('is going to sleep then on a bike ride:]', 0)	2	41	41
59	('my teeth are sore', 38)	0	42	42
60	('my teeth are sore', 38)	0	42	42
61	('my teeth are sore', 38)	0	42	42
62	('my teeth are sore', 38)	0	42	42
63	('my teeth are sore', 38)	0	42	42
64	('nothing for today before i go to sleep', 68)	0	43	43
65	"(""glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"", 0)"	0	44	44
66	('bay breakers in san francisco', 30)	1	45	45
67	('bay breakers in san francisco', 30)	1	45	45
68	('just arrived in san francisco', 19)	1	46	46
69	('just arrived in san francisco', 19)	1	46	46
70	('just arrived in san francisco', 19)	1	46	46
71	('san francisco today any suggestions?', 14)	1	47	47
72	('?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg', 0)	0	48	48
73	('do you think that citigroup is in deep trouble?', 102)	0	49	49
74	('do you think that citigroup is in deep trouble?', 102)	0	49	49
75	('do you think that citigroup is in deep trouble?', 102)	0	49	49
76	('do you think that citigroup is in deep trouble?', 102)	0	49	49
77	('yarnthing - you will not regret going to star trek', 34)	2	51	51
78	('On my way to see Star Trek @ The Esquire.', 0)	1	52	52
79	"(""i'm going to star trek soon with my dad"", 16)"	1	53	53
80	('annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.', 0)	0	54	54
81	('Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50', 0)	1	55	55
82	('Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell', 0)	2	56	56
83	('blink by malcolm gladwell a brilliant book and the tipping point', 20)	2	57	57
84	('blink by malcolm gladwell a brilliant book and the tipping point', 20)	2	57	57
85	('malcolm gladwell could be my crush', 25)	2	58	58
86	('malcolm gladwell could be my crush', 25)	2	58	58
87	('malcolm gladwell could be my crush', 25)	2	58	58
88	('malcolm gladwell could be my crush', 25)	2	58	58
89	('malcolm gladwell could be my crush', 25)	2	58	58
90	('the ads just on espn will make me mad', 51)	0	59	59
91	('the ads just on espn will make me mad', 51)	0	59	59
92	('the ads just on espn will make me mad', 51)	0	59	59
93	('the ads just on espn will make me mad', 51)	0	59	59
94	('the ads just on espn will make me mad', 51)	0	59	59
95	('the ads just on espn will make me mad', 51)	0	59	59
96	('@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.', 0)	2	60	60
97	('playing with cURL and the Twitter API', 0)	1	61	61
98	('Hello Twitter API ;)', 0)	2	62	62
99	('playing with Java and the Twitter API', 0)	1	63	63
100	"(""@morind45 Because the twitter api is slow and most client's aren't good."", 0)"	0	64	64
101	"(""yahoo's answers can be a challenge sometimes"", 23)"	0	65	65
102	('RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR', 0)	2	67	67
103	('just changed my default pic to a Nike basketball cause bball is awesome!!!!!', 0)	2	68	68
104	('Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding', 0)	1	69	69
105	"(""'next time i'll call myself nike'"", 12)"	1	70	70
106	('i just heard that nike layoffs started today', 39)	0	72	72
107	('i just heard that nike layoffs started today', 39)	0	72	72
108	('i just heard that nike layoffs started today', 39)	0	72	72
109	('when i worked for nike we had a favorite word ', 35)	2	73	73
110	"(""By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"", 0)"	2	74	74
111	('giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.', 0)	1	75	75
112	('Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t', 0)	1	76	76
113	('class 50d is expected to arrive today ', 30)	2	77	77
114	('someone should explain lambda calculus to him', 24)	0	78	78
115	('someone should explain lambda calculus to him', 24)	0	78	78
116	('someone should explain lambda calculus to him', 24)	0	78	78
117	('someone should explain lambda calculus to him', 24)	0	78	78
118	('did the field graduate computer science exam today nothing makes you feel more of an idiot than lambda calculus', 45)	0	79	79
119	('SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......', 0)	2	80	80
120	"(""i wouldn't have lived in east palo alto if i had avoided it"", 89)"	0	81	81
121	"(""i wouldn't have lived in east palo alto if i had avoided it"", 89)"	0	81	81
122	"(""i wouldn't have lived in east palo alto if i had avoided it"", 89)"	0	81	81
123	('@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!', 0)	2	82	82
124	"(""NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"", 0)"	1	83	83
125	('new blog post harvard versus stanford - who wins?', 33)	1	84	84
126	"(""it's north korea"", 40)"	0	86	86
127	('can we just make north korea disappear from our map?', 45)	0	87	87
128	('can we just make north korea disappear from our map?', 45)	0	87	87
129	('can we just make north korea disappear from our map?', 45)	0	87	87
130	('can we just make north korea disappear from our map?', 45)	0	87	87
131	('can we just make north korea disappear from our map?', 45)	0	87	87
132	"(""North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"", 0)"	0	88	88
133	('why did pelosi go to china?', 50)	0	89	89
134	('why did pelosi go to china?', 50)	0	89	89
135	('why did pelosi go to china?', 50)	0	89	89
136	('why did pelosi go to china?', 50)	0	89	89
137	('my spinach has been infected by insects ', 32)	0	91	91
138	('my spinach has been infected by insects ', 32)	0	91	91
139	('my spinach has been infected by insects ', 32)	0	91	91
140	('wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects', 0)	0	92	92
141	('i just came home from church and i hate insects a lot', 33)	0	93	93
142	('i just came home from church and i hate insects a lot', 33)	0	93	93
143	('i just came home from church and i hate insects a lot', 33)	0	93	93
144	('i just came home from church and i hate insects a lot', 33)	0	93	93
145	('i just came home from church and i hate insects a lot', 33)	0	93	93
146	('i just came home from church and i hate insects a lot', 33)	0	93	93
147	('i just came home from church and i hate insects a lot', 33)	0	93	93
148	('i just came home from church and i hate insects a lot', 33)	0	93	93
149	"(""Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it"", 0)"	0	94	94
150	('omgg i ohhdee want mcdonalds damn i wonder if its open lol =]', 0)	2	95	95
151	('History exam studying ugh', 0)	0	96	96
152	"(""i hate revision it's so boring i'm totally unprepared for my exam tomorrow"", 47)"	0	97	97
153	"(""i hate revision it's so boring i'm totally unprepared for my exam tomorrow"", 47)"	0	97	97
154	"(""i hate revision it's so boring i'm totally unprepared for my exam tomorrow"", 47)"	0	97	97
155	"(""i hate revision it's so boring i'm totally unprepared for my exam tomorrow"", 47)"	0	97	97
156	"(""i hate revision it's so boring i'm totally unprepared for my exam tomorrow"", 47)"	0	97	97
157	('Higher physics exam tommorow, not lookin forward to it much :(', 0)	0	98	98
158	"(""it's a bank holiday and i'm only out of work now"", 35)"	0	99	99
159	"(""it's a bank holiday and i'm only out of work now"", 35)"	0	99	99
160	('life is a bitch? and so dick cheney', 69)	0	101	101
161	('life is a bitch? and so dick cheney', 69)	0	101	101
162	"(""Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"", 0)"	0	102	102
163	"('""The Republican party is a bunch of anti-abortion zealots who couldn\'t draw flies to a dump."" -- Neal Boortz (just now, on the radio)', 0)"	0	103	103
164	"(""is twitter's connections api broken?"", 53)"	0	104	104
165	"(""i hate twitter's insane api timeout "", 54)"	0	105	105
166	"(""i hate twitter's insane api timeout "", 54)"	0	105	105
167	"(""i hate twitter's insane api timeout "", 54)"	0	105	105
168	"(""i hate twitter's insane api timeout "", 54)"	0	105	105
169	"(""i hate twitter's insane api timeout "", 54)"	0	105	105
170	"(""i hate twitter's insane api timeout "", 54)"	0	105	105
171	"('@psychemedia I really liked @kswedberg\'s ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too', 0)"	2	106	106
172	('Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT', 0)	2	108	108
173	('Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!', 0)	2	109	109
174	"(""RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"", 0)"	2	110	110
175	('The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!', 0)	2	111	111
176	('top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9', 0)	2	112	112
177	('zomg!!! I have a G2!!!!!!!', 0)	2	113	113
178	('Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl', 0)	2	114	114
179	('just got a free g2 android phone from google io', 23)	2	115	115
180	('just got a free g2 android phone from google io', 23)	2	115	115
181	('just got a free g2 android phone from google io', 23)	2	115	115
182	('just got a free g2 android phone from google io', 23)	2	115	115
183	('just got a free g2 android phone from google io', 23)	2	115	115
184	"(""Guess I'll be retiring my G1 and start using my developer G2 woot #googleio"", 0)"	2	116	116
185	('At GWT fireside chat @googleio', 0)	1	117	117
186	"(""i'm glad philip is coming to googleio today"", 31)"	2	118	118
187	"(""i'm glad philip is coming to googleio today"", 31)"	2	118	118
188	"(""i'm glad philip is coming to googleio today"", 31)"	2	118	118
189	"(""i'm glad philip is coming to googleio today"", 31)"	2	118	118
190	"(""i'm glad philip is coming to googleio today"", 31)"	2	118	118
191	"(""i'm glad philip is coming to googleio today"", 31)"	2	118	118
192	"(""i'm glad philip is coming to googleio today"", 31)"	2	118	118
193	('hello does anyone have a good source for advice on viral marketing?', 45)	1	120	120
194	('hello does anyone have a good source for advice on viral marketing?', 45)	1	120	120
195	('Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK', 0)	2	121	121
196	('how do you use virulence marketing to add over 10000 people to your list?', 63)	1	122	122
197	('how do you use virulence marketing to add over 10000 people to your list?', 63)	1	122	122
198	"(""VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!"", 0)"	0	123	123
199	('watching Night at The Museum . Lmao', 0)	2	124	124
200	('i enjoyed the museum night', 30)	2	125	125
201	('i enjoyed the museum night', 30)	2	125	125
202	('i enjoyed the museum night', 30)	2	125	125
203	('i enjoyed the museum night', 30)	2	125	125
204	('i enjoyed the museum night', 30)	2	125	125
205	('i enjoyed the museum night', 30)	2	125	125
206	('i enjoyed the museum night', 30)	2	125	125
207	('i enjoyed the museum night', 30)	2	125	125
208	('going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin', 0)	1	126	126
209	('just got back from the movies', 80)	2	127	127
210	('just got back from the movies', 80)	2	127	127
211	('just got back from the movies', 80)	2	127	127
212	('just got back from the movies', 80)	2	127	127
213	('just got back from the movies', 80)	2	127	127
214	('just got back from the movies', 80)	2	127	127
215	('Just saw the new Night at the Museum movie...it was...okay...lol 7\\10', 0)	1	128	128
216	('Going to see night at the museum 2 with tall boy', 0)	1	129	129
217	"(""shanaday i'll take you on a date to see a night at museum 2 if you want"", 56)"	2	130	130
218	('Night at the Museum, Wolverine and junk food - perfect monday!', 0)	2	132	132
219	('saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!', 0)	2	133	133
220	('i saw a film about the battle of swithsonian night at the museum today', 79)	1	134	134
221	('Taking Katie to see Night at the Museum.  (she picked it)', 0)	1	135	135
222	('Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL', 0)	0	136	136
223	('tell me again why we give more money to gm?', 89)	0	139	139
224	('tell me again why we give more money to gm?', 89)	0	139	139
225	('tell me again why we give more money to gm?', 89)	0	139	139
226	('tell me again why we give more money to gm?', 89)	0	139	139
227	('tell me again why we give more money to gm?', 89)	0	139	139
228	('tell me again why we give more money to gm?', 89)	0	139	139
229	('tell me again why we give more money to gm?', 89)	0	139	139
230	('@jdreiss oh yes but if GM dies it will only be worth more boo hahaha', 0)	0	140	140
231	('time warner cable is down for the third time since memorial day', 29)	0	141	141
232	('time warner cable is down for the third time since memorial day', 29)	0	141	141
233	('time warner cable is down for the third time since memorial day', 29)	0	141	141
234	"(""i'd rather pay yearly taxes for free fast internet than be gouged for slow connection by time warner"", 59)"	0	142	142
235	"(""i'd rather pay yearly taxes for free fast internet than be gouged for slow connection by time warner"", 59)"	0	142	142
236	"(""i'd rather pay yearly taxes for free fast internet than be gouged for slow connection by time warner"", 59)"	0	142	142
237	"(""i'd rather pay yearly taxes for free fast internet than be gouged for slow connection by time warner"", 59)"	0	142	142
238	"(""i'd rather pay yearly taxes for free fast internet than be gouged for slow connection by time warner"", 59)"	0	142	142
239	"(""i'd rather pay yearly taxes for free fast internet than be gouged for slow connection by time warner"", 59)"	0	142	142
240	"(""i'd rather pay yearly taxes for free fast internet than be gouged for slow connection by time warner"", 59)"	0	142	142
241	('NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner', 0)	0	143	143
242	('F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!', 0)	0	144	144
243	('time warner has a terrible customer service', 54)	0	145	145
244	('time warner has a terrible customer service', 54)	0	145	145
245	('time warner has a terrible customer service', 54)	0	145	145
246	('time warner has a terrible customer service', 54)	0	145	145
247	('time warner has a terrible customer service', 54)	0	145	145
248	('time warner has a terrible customer service', 54)	0	145	145
249	('time warner has a terrible customer service', 54)	0	145	145
250	('time warner has a terrible customer service', 54)	0	145	145
251	('Time warner is the devil. Worst possible time for the Internet to go out.', 0)	0	146	146
252	('Fuck no internet damn time warner!', 0)	0	147	147
253	('time warner chooses the worst time to not work i just want to go to the mtv website so i can watch the hills', 55)	0	148	148
254	('time warner chooses the worst time to not work i just want to go to the mtv website so i can watch the hills', 55)	0	148	148
255	('I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.', 0)	0	149	149
256	('Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)', 0)	0	150	150
257	"(""time warner's hd line is terrible"", 22)"	0	151	151
258	"(""time warner's hd line is terrible"", 22)"	0	151	151
259	"(""time warner's hd line is terrible"", 22)"	0	151	151
260	"(""time warner's hd line is terrible"", 22)"	0	151	151
261	"(""time warner's hd line is terrible"", 22)"	0	151	151
262	"(""time warner's hd line is terrible"", 22)"	0	151	151
263	"(""time warner's hd line is terrible"", 22)"	0	151	151
264	('and susan boyle sucks too', 83)	0	152	152
265	"(""time warner cable pulls the plug on 'the girlfriend experience' - wwwtinyurlcomm595fk"", 15)"	1	153	153
266	('Time Warner Cable slogan: Where calling it a day at 2pm Happens.', 0)	0	154	154
267	('Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3', 0)	1	155	155
268	('Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n', 0)	1	156	156
269	"(""myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba"", 0)"	1	157	157
270	('RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu', 0)	1	160	160
271	('Recovering from surgery..wishing @julesrenner was here :(', 0)	0	161	161
272	('My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!', 0)	2	162	162
273	('Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?', 0)	1	163	163
274	"('THE DENTIST LIED! "" U WON\'T FEEL ANY DISCOMORT! PROB WON\'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!', 0)"	0	164	164
275	"(""my dentist is great but it's expensive"", 31)"	0	165	165
276	('is studing math ;) tomorrow exam and dentist :)', 0)	2	167	167
277	('my dentist is wrong', 23)	0	168	168
278	('my dentist is wrong', 23)	0	168	168
279	('my dentist is wrong', 23)	0	168	168
280	('Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?', 0)	0	170	170
281	('NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx', 0)	1	171	171
282	('just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR', 0)	1	172	172
283	('the cardinals baseball team advance to super regionals', 41)	1	173	173
284	('the cardinals baseball team advance to super regionals', 41)	1	173	173
285	('the cardinals baseball team advance to super regionals', 41)	1	173	173
286	('Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796', 0)	1	174	174
287	('waiting in line at safeway.', 0)	1	175	175
288	('luke and i got out of the safeway and he asked us to empty our pockets and lift our shirts', 60)	0	176	176
289	('luke and i got out of the safeway and he asked us to empty our pockets and lift our shirts', 60)	0	176	176
290	"(""i forgot there's a gym above safeway"", 25)"	1	177	177
291	"(""i forgot there's a gym above safeway"", 25)"	1	177	177
292	"(""i forgot there's a gym above safeway"", 25)"	1	177	177
293	"(""i forgot there's a gym above safeway"", 25)"	1	177	177
294	"(""i forgot there's a gym above safeway"", 25)"	1	177	177
295	"('@XPhile1908 I have three words for you: ""Safeway dot com""', 0)"	1	178	178
296	('safeway is very rocking tonight', 18)	2	179	179
297	('safeway is very rocking tonight', 18)	2	179	179
298	('safeway is very rocking tonight', 18)	2	179	179
299	('Bout to hit safeway I gotta eat', 0)	1	180	180
300	('jake will be going to the safeway', 19)	1	181	181
301	('jake will be going to the safeway', 19)	1	181	181
302	('Found a safeway. Picking up a few staples.', 0)	1	182	182
303	('Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w', 0)	1	183	183
304	('the safeway bathroom still smells assassins', 20)	0	184	184
305	('the safeway bathroom still smells assassins', 20)	0	184	184
306	"(""At safeway on elkhorn, they move like they're dead!"", 0)"	0	185	185
307	('how to get your normal weight?', 68)	1	186	186
308	('Is Eating and Watching Movies....', 0)	1	187	187
309	('eating sashimi', 0)	1	188	188
310	('we have homemade yema', 20)	1	189	189
311	('eating cake', 0)	1	190	190
312	('i love the commercial about vitamin water by dwight howard', 79)	2	191	191
313	('Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic', 0)	0	192	192
314	"(""is lovin his Nike  already and that's only from running on the spot in his bedroom"", 0)"	2	194	194
315	('Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp', 0)	1	195	195
316	('@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.', 0)	2	196	196
317	('RT @jquery: The Ultimate jQuery List - http://jquerylist.com/', 0)	1	197	197
318	('I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb', 0)	1	198	198
319	('what is a php jquery hack?', 30)	1	199	199
320	('jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/', 0)	1	200	200
321	('Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5', 0)	1	201	201
322	('i have high expectations warren buffet style', 47)	2	202	202
323	('rt blknprecious1 rt great dbroos someone sits in the shade today because someone planted a tree a long time ago', 35)	2	203	203
324	('rt blknprecious1 rt great dbroos someone sits in the shade today because someone planted a tree a long time ago', 35)	2	203	203
325	('Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune', 0)	2	205	205
326	('According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*', 0)	2	206	206
327	"(""chattanooga's notre dame high school plays host on tuesday"", 95)"	1	207	207
328	"(""@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2"", 0)"	2	208	208
329	('RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...', 0)	1	209	209
330	"(""time warner's road runner customer support is absolutely bad"", 94)"	0	210	210
331	"(""time warner's road runner customer support is absolutely bad"", 94)"	0	210	210
332	"(""time warner's road runner customer support is absolutely bad"", 94)"	0	210	210
333	('Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!', 0)	0	211	211
334	"(""@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)"", 0)"	0	212	212
335	"(""OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml."", 0)"	0	213	213
336	('i have never seen a line like this before time warner', 43)	0	214	214
337	('i have never seen a line like this before time warner', 43)	0	214	214
338	"(""i'm eager to watch the arrival of time warner and it's way too pretty to be inside all the time"", 40)"	0	215	215
339	"(""i'm eager to watch the arrival of time warner and it's way too pretty to be inside all the time"", 40)"	0	215	215
340	('Man accosts Roger Federer during French Open http://ff.im/3HCPT', 0)	1	216	216
341	('Naive Bayes using EM for Text Classification. Really Frustrating...', 0)	0	217	217
342	"(""We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there."", 0)"	2	218	218
343	('Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme', 0)	1	219	219
344	('it was a successful weekend', 53)	1	220	220
345	"(""@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags"", 0)"	0	221	221
346	('Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.', 0)	0	222	222
347	('#at&amp;t is complete fail.', 0)	0	223	223
348	"(""@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU"", 0)"	0	224	224
349	('@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal', 0)	0	225	225
350	"(""i'm sorry to bob geldof"", 101)"	0	226	226
351	"(""i'm not going to pay 499 for something i thought was 299 for the iphone"", 104)"	0	227	227
352	('Safari 4 is fast :) Even on my shitty AT&amp;T tethering.', 0)	0	228	228
353	('is atampt doing anything wrong?', 33)	0	229	229
354	('is atampt doing anything wrong?', 33)	0	229	229
355	('is atampt doing anything wrong?', 33)	0	229	229
356	"(""@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!"", 0)"	0	230	230
357	('@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.', 0)	0	231	231
358	('Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8', 0)	0	233	233
